YEAR,MONTH,DAY,LABORATORY,SOURCE,SP,N_SAMPLE,SHIP_TYPE,TOTAL_WEIGHT,SAMPLE_WEIGHT,PORT,GEAR,LENGTH,FREQUENCY
2016,4,4,HUACHO,SEGUIMIENTO,x,1,BOTE,60,26,HUACHO,CORTINA,20,9
2016,4,4,HUACHO,SEGUIMIENTO,x,1,BOTE,60,26,HUACHO,CORTINA,21,42
2016,4,4,HUACHO,SEGUIMIENTO,x,1,BOTE,60,26,HUACHO,CORTINA,22,45
2016,4,4,HUACHO,SEGUIMIENTO,x,1,BOTE,60,26,HUACHO,CORTINA,23,37
2016,4,4,HUACHO,SEGUIMIENTO,x,1,BOTE,60,26,HUACHO,CORTINA,24,8
2016,4,4,HUACHO,SEGUIMIENTO,x,1,BOTE,60,26,HUACHO,CORTINA,25,7
2016,4,4,HUACHO,SEGUIMIENTO,x,1,BOTE,60,26,HUACHO,CORTINA,26,1
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,20,3
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,21,8
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,22,21
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,23,47
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,24,25
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,25,12
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,26,6
2016,8,3,ILO,SEGUIMIENTO,x,2,BOTE,400,14,ILO,CORTINA,27,3
2016,6,26,HUACHO,PROSPECCION,x,3,CHALANA,4.6,4.6,HUACHO,CORTINA,22,3
2016,6,26,HUACHO,PROSPECCION,x,3,CHALANA,4.6,4.6,HUACHO,CORTINA,23,2
2016,6,26,HUACHO,PROSPECCION,x,3,CHALANA,4.6,4.6,HUACHO,CORTINA,24,4
2016,6,26,HUACHO,PROSPECCION,x,3,CHALANA,4.6,4.6,HUACHO,CORTINA,25,3
2016,6,26,HUACHO,PROSPECCION,x,3,CHALANA,4.6,4.6,HUACHO,CORTINA,26,3
2016,6,26,HUACHO,PROSPECCION,x,3,CHALANA,4.6,4.6,HUACHO,CORTINA,28,4
2016,6,26,HUACHO,PROSPECCION,x,3,CHALANA,4.6,4.6,HUACHO,CORTINA,30,1
2016,12,5,HUACHO,SEGUIMIENTO,x,4,CHALANA,50,22,VEGUETA,CORTINA,18,13
2016,12,5,HUACHO,SEGUIMIENTO,x,4,CHALANA,50,22,VEGUETA,CORTINA,19,40
2016,12,5,HUACHO,SEGUIMIENTO,x,4,CHALANA,50,22,VEGUETA,CORTINA,20,58
2016,12,5,HUACHO,SEGUIMIENTO,x,4,CHALANA,50,22,VEGUETA,CORTINA,21,37
2016,12,5,HUACHO,SEGUIMIENTO,x,4,CHALANA,50,22,VEGUETA,CORTINA,22,25
2016,12,5,HUACHO,SEGUIMIENTO,x,4,CHALANA,50,22,VEGUETA,CORTINA,23,15
