sim,year,species,comp_type,ess
1,2016,1,total,692.9680218752102
2,2016,1,total,779.7136128245417
3,2016,1,total,1866.688379710516
4,2016,1,total,328.5392155617537
5,2016,1,total,392.51477073653496
6,2016,1,total,231.00752209449558
7,2016,1,total,1577.6105229914428
8,2016,1,total,394.59859583171965
9,2016,1,total,479.4332148124376
10,2016,1,total,335.677858181957
11,2016,1,total,314.3036793142151
12,2016,1,total,325.8603304934459
13,2016,1,total,491.2968077288636
14,2016,1,total,848.2251966212783
15,2016,1,total,633.4240042425051
16,2016,1,total,515.8663863746712
17,2016,1,total,2392.4988850562463
18,2016,1,total,1126.9167654003863
19,2016,1,total,711.2903478032405
20,2016,1,total,2371.190473809177
21,2016,1,total,1316.0644025795218
22,2016,1,total,345.5070469561009
23,2016,1,total,758.3506979996271
24,2016,1,total,569.4490446604857
25,2016,1,total,986.08491176028
26,2016,1,total,949.4268704258999
27,2016,1,total,289.86309631537387
28,2016,1,total,738.1352292592662
29,2016,1,total,309.28900022035265
30,2016,1,total,325.98378816782383
31,2016,1,total,419.04100259811906
32,2016,1,total,629.0019838927172
33,2016,1,total,230.17595720203656
34,2016,1,total,790.3716877387426
35,2016,1,total,1804.9166529586425
36,2016,1,total,1577.386737050021
37,2016,1,total,126.79600595258081
38,2016,1,total,439.4252672684426
39,2016,1,total,481.7405416639558
40,2016,1,total,3001.376987570089
41,2016,1,total,1533.06294144699
42,2016,1,total,1183.0669590061864
43,2016,1,total,937.7630791190358
44,2016,1,total,822.7383324263507
45,2016,1,total,1401.3126747440267
46,2016,1,total,380.24396611931314
47,2016,1,total,429.43756010354883
48,2016,1,total,954.7910603308155
49,2016,1,total,1630.6653129188287
50,2016,1,total,357.827749720841
51,2016,1,total,1149.220327569937
52,2016,1,total,505.36599699620257
53,2016,1,total,673.7520372542925
54,2016,1,total,363.51668226195477
55,2016,1,total,1870.6193154059822
56,2016,1,total,567.0033082696551
57,2016,1,total,643.0269005284898
58,2016,1,total,287.1101424040352
59,2016,1,total,305.9478267272572
60,2016,1,total,304.93388542849755
61,2016,1,total,411.114401337395
62,2016,1,total,409.0894757917522
63,2016,1,total,1726.5393072107659
64,2016,1,total,666.6202354542801
65,2016,1,total,963.6424080096639
66,2016,1,total,392.91983594717357
67,2016,1,total,644.8280342813193
68,2016,1,total,398.703850471354
69,2016,1,total,506.2687725238411
70,2016,1,total,970.2715304890944
71,2016,1,total,725.807321929561
72,2016,1,total,1007.99149534638
73,2016,1,total,574.8961675176382
74,2016,1,total,609.2332360427012
75,2016,1,total,544.2696215282691
76,2016,1,total,375.0895422710499
77,2016,1,total,2455.050184592694
78,2016,1,total,332.2147113737674
79,2016,1,total,1096.9020115630651
80,2016,1,total,198.89837616737123
81,2016,1,total,383.72297233957397
82,2016,1,total,532.1112839323087
83,2016,1,total,1145.3943564293656
84,2016,1,total,618.5568610483556
85,2016,1,total,3190.75718526775
86,2016,1,total,577.4780081698192
87,2016,1,total,535.3557136109007
88,2016,1,total,86.76006730518645
89,2016,1,total,751.8927048143725
90,2016,1,total,1278.904652677094
