sim,year,species,comp_type,ess
1,2016,1,total,1139.369038987555
2,2016,1,total,1627.7202291895264
3,2016,1,total,714.8191516193317
4,2016,1,total,2577.845712117903
5,2016,1,total,497.40388284827645
6,2016,1,total,372.3791099097609
7,2016,1,total,1243.2731593282444
8,2016,1,total,2068.0444801049007
9,2016,1,total,237.0151099776344
10,2016,1,total,833.8940775832092
11,2016,1,total,349.498284613513
12,2016,1,total,825.4516227134852
13,2016,1,total,541.5808367684269
14,2016,1,total,503.3189752826379
15,2016,1,total,579.5639053282841
16,2016,1,total,2654.700582074379
17,2016,1,total,1424.689333093017
18,2016,1,total,816.3651856259378
19,2016,1,total,815.8789050581884
20,2016,1,total,1161.628980196368
21,2016,1,total,967.4293439256371
22,2016,1,total,251.80697889972643
23,2016,1,total,1586.9217104216357
24,2016,1,total,533.3380222538585
25,2016,1,total,889.9072523576771
26,2016,1,total,1518.3690393807021
27,2016,1,total,647.4784343171883
28,2016,1,total,673.1512328230609
29,2016,1,total,699.2136333442741
30,2016,1,total,1089.1805371746805
31,2016,1,total,903.4873697461311
32,2016,1,total,1630.011043439627
33,2016,1,total,704.5658651653293
34,2016,1,total,1205.9987257185117
35,2016,1,total,370.6184978012127
36,2016,1,total,360.0309999917178
37,2016,1,total,517.0006870555761
38,2016,1,total,956.6470361622902
39,2016,1,total,604.9205161788393
40,2016,1,total,612.9903725519621
41,2016,1,total,1339.6104669947997
42,2016,1,total,1345.2015359149339
43,2016,1,total,860.9976873865927
44,2016,1,total,2164.6449149056425
45,2016,1,total,1293.7518481192283
46,2016,1,total,4428.819987384896
47,2016,1,total,2238.8332239528577
48,2016,1,total,1428.0277788960957
49,2016,1,total,639.9379392341712
50,2016,1,total,541.9396831027109
51,2016,1,total,310.694857100626
52,2016,1,total,1063.1439599938892
53,2016,1,total,2748.664233716766
54,2016,1,total,1161.357257869428
55,2016,1,total,852.486921414888
56,2016,1,total,618.5056871238336
57,2016,1,total,693.9236614800956
58,2016,1,total,535.1241698555251
59,2016,1,total,1390.9619025707393
60,2016,1,total,643.1387157459644
61,2016,1,total,540.4489019095158
62,2016,1,total,1016.6623391403735
63,2016,1,total,1696.8585878189037
64,2016,1,total,460.8234313643897
65,2016,1,total,525.8144251812806
66,2016,1,total,1196.8144910197261
67,2016,1,total,1815.9345515646396
68,2016,1,total,1047.2251628255478
69,2016,1,total,575.2163181773352
70,2016,1,total,468.11633153568516
71,2016,1,total,662.3739305059704
72,2016,1,total,1641.69556333198
73,2016,1,total,352.2528775598651
74,2016,1,total,424.569974018548
75,2016,1,total,544.8952584251948
76,2016,1,total,1955.0576011090827
77,2016,1,total,864.1798469820673
78,2016,1,total,2014.979064667645
79,2016,1,total,366.4648169009571
80,2016,1,total,1727.0880151000158
81,2016,1,total,661.8817262101451
82,2016,1,total,1271.7044245258826
83,2016,1,total,1777.6555327907888
84,2016,1,total,3143.0064976138806
85,2016,1,total,2849.746465652796
86,2016,1,total,971.6389961106593
87,2016,1,total,966.0271432259088
88,2016,1,total,721.0392345260151
89,2016,1,total,751.3691191268666
90,2016,1,total,2559.028264534289
91,2016,1,total,1146.744718434006
92,2016,1,total,2118.886876465303
93,2016,1,total,1442.6555369379105
94,2016,1,total,983.3136395270487
95,2016,1,total,2207.08173569985
96,2016,1,total,996.7005959365678
97,2016,1,total,581.1470278770572
98,2016,1,total,230.00952877375138
99,2016,1,total,545.6758443113281
100,2016,1,total,453.13630086556674
101,2016,1,total,646.2729832857792
102,2016,1,total,261.1287148383022
103,2016,1,total,1341.0549201289502
104,2016,1,total,430.97724285286193
105,2016,1,total,1029.191648461119
106,2016,1,total,696.7416080689189
107,2016,1,total,922.4402590683193
108,2016,1,total,1731.6182200505125
109,2016,1,total,359.410499096289
110,2016,1,total,330.36415795816555
111,2016,1,total,876.3510331179932
112,2016,1,total,759.4895172241977
113,2016,1,total,1870.3494110720283
114,2016,1,total,1499.4677572145529
115,2016,1,total,1272.011001935247
116,2016,1,total,511.9388413712057
117,2016,1,total,1130.103796633043
118,2016,1,total,691.0938165559711
119,2016,1,total,761.1134448012177
120,2016,1,total,711.8727461653012
121,2016,1,total,1974.2325013171678
122,2016,1,total,1289.5767536966387
123,2016,1,total,616.569495990427
124,2016,1,total,1545.0150506862615
125,2016,1,total,1377.504640085238
126,2016,1,total,1185.6112269354373
127,2016,1,total,913.2436455585025
128,2016,1,total,588.146584782424
129,2016,1,total,1680.0362189209384
130,2016,1,total,1286.0548931035223
131,2016,1,total,1094.2340558081667
132,2016,1,total,2334.8967162370973
133,2016,1,total,664.7635358709382
134,2016,1,total,1612.165921586514
135,2016,1,total,1534.3994216971005
136,2016,1,total,490.71856212085197
137,2016,1,total,849.3422831790979
138,2016,1,total,683.0637858978538
139,2016,1,total,1985.8814630792024
140,2016,1,total,875.0657134133506
141,2016,1,total,464.9858587056275
142,2016,1,total,754.8603432952347
143,2016,1,total,1304.406308150171
144,2016,1,total,1126.0639704470223
145,2016,1,total,1016.8823884690541
146,2016,1,total,769.8265437112284
147,2016,1,total,601.6932271245995
148,2016,1,total,1457.4050026729165
149,2016,1,total,742.702804572317
150,2016,1,total,611.0267460467473
151,2016,1,total,1055.5999897896913
152,2016,1,total,526.6766794118332
153,2016,1,total,2061.648855358522
154,2016,1,total,984.447892863
155,2016,1,total,2161.1868661725107
156,2016,1,total,3917.9259042030144
157,2016,1,total,1952.4391872557974
158,2016,1,total,2050.3083724252783
159,2016,1,total,630.5732483884564
160,2016,1,total,3699.746946813941
161,2016,1,total,720.2835854412683
162,2016,1,total,510.9177085873464
163,2016,1,total,907.7415157404067
164,2016,1,total,585.4411555522245
165,2016,1,total,1403.8067868584249
166,2016,1,total,1295.5415500636757
167,2016,1,total,1202.0895030100812
168,2016,1,total,1430.995182166616
169,2016,1,total,1076.3973023404285
170,2016,1,total,619.2618233922532
171,2016,1,total,1117.6023466051292
172,2016,1,total,1176.8595056514396
173,2016,1,total,1438.4509503581564
174,2016,1,total,516.3153156948873
175,2016,1,total,1238.5206433792712
176,2016,1,total,1190.3596920549178
177,2016,1,total,1832.5434161894152
178,2016,1,total,727.8875967926019
179,2016,1,total,697.741171875421
180,2016,1,total,633.8402680146941
181,2016,1,total,1010.2308544481529
182,2016,1,total,477.69425824712346
183,2016,1,total,1383.5404647073292
184,2016,1,total,2595.618669610748
185,2016,1,total,321.85753410528946
186,2016,1,total,669.9829978858754
187,2016,1,total,1802.827661803819
188,2016,1,total,429.94786421119073
189,2016,1,total,851.7563156269871
190,2016,1,total,786.3993891594201
191,2016,1,total,1188.7287573916556
192,2016,1,total,1912.0026674299388
193,2016,1,total,389.8680302948332
194,2016,1,total,529.506813571142
195,2016,1,total,1183.7449347640602
196,2016,1,total,880.4180890626255
197,2016,1,total,1800.7824071252148
198,2016,1,total,733.1598686524326
199,2016,1,total,369.5661469586977
200,2016,1,total,414.8384320350294
201,2016,1,total,686.2950782763356
202,2016,1,total,1265.4344233492657
203,2016,1,total,1156.0265286091528
204,2016,1,total,1111.3920678809404
205,2016,1,total,745.1384655569957
206,2016,1,total,427.92837304131217
207,2016,1,total,2272.102524736531
208,2016,1,total,579.7765246328104
209,2016,1,total,528.9377301645794
210,2016,1,total,457.50508387265086
211,2016,1,total,1573.2844407458992
212,2016,1,total,1835.689472774766
213,2016,1,total,1936.0102375301587
214,2016,1,total,1742.3485026736214
215,2016,1,total,2554.2105202273433
216,2016,1,total,503.7365367738546
217,2016,1,total,2746.470772022429
218,2016,1,total,544.1388948438979
219,2016,1,total,1201.1456557075703
220,2016,1,total,1235.7520083044653
221,2016,1,total,1665.223096114022
222,2016,1,total,825.7350347011055
223,2016,1,total,3504.299760385134
224,2016,1,total,1356.3000183159659
225,2016,1,total,738.4166452979025
226,2016,1,total,4496.146358060224
227,2016,1,total,432.52856259985015
228,2016,1,total,1541.4230077174213
229,2016,1,total,726.3059295296777
230,2016,1,total,910.4262832883036
231,2016,1,total,540.861633313845
232,2016,1,total,1913.1445261684446
233,2016,1,total,1343.0112267595016
234,2016,1,total,2007.8305248987333
235,2016,1,total,387.43231501777774
236,2016,1,total,582.507531431669
237,2016,1,total,1848.6045941368461
